"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"DL","Delta Air Lines Inc.",2007,5176517,1530087,152501,1866371,6735,1620823,5.12700388286196,5.30781310761031,2.65436187992337,6.61611391208096,3.8062459733478,4.26454450703915
"DL","Delta Air Lines Inc.",2008,5125061,1411220,167124,1945194,1365,1600158,5.91548906263329,5.86829368680431,3.60669415072176,7.43248925615692,1.19405857447776,5.05256006569195
"DL","Delta Air Lines Inc.",2009,4408308,1190233,154579,1786806,1310,1275380,6.67866570976113,6.43158407058271,4.69791151591444,8.83669993589606,1.66188820947403,5.33402659200753
"DL","Delta Air Lines Inc.",2010,8195204,2910046,380885,2317622,3371,2583280,12.9553084758427,15.1426837146654,13.6752606264801,14.2806405129348,3.13844148589517,10.3670189077862
"DL","Delta Air Lines Inc.",2011,6379583,2188241,300469,1827410,2316,2061147,10.3437139233317,11.7943867597041,11.7445345147092,11.9413508669096,2.84685260531265,8.18572770635469
"DL","Delta Air Lines Inc.",2012,5136802,1965386,178807,1361153,2025,1629431,9.02512394782184,10.8193595580535,7.84306586952421,10.6101168135313,2.7719980288014,6.9132879572764
"DL","Delta Air Lines Inc.",2013,6634527,2691572,333994,1749949,7816,1851196,9.2226135088573,12.7339978048812,11.2298862903153,10.0416735860596,7.54068942894907,6.11035734544141
"DL","Delta Air Lines Inc.",2014,6965629,2694134,498602,1833423,3556,1935914,9.90604386330063,12.6726664885181,16.6830786547456,11.0985051710552,5.44146901300689,6.5659851124597
"DL","Delta Air Lines Inc.",2015,7229891,2707569,602901,1779383,3910,2136128,11.539785398574,13.4217761640882,19.4469576964054,12.4121968542726,4.82805457800827,8.55754308430706
"EV","Atlantic Southeast Airlines",2007,5651350,2832238,760224,1123851,4990,930047,5.59729512979711,9.82492497503215,13.2321073684951,3.98394865554924,2.82006939970386,2.44704500438249
"EV","Atlantic Southeast Airlines",2008,4038897,1688969,565274,1127930,3559,653165,4.66180812845007,7.02326080973072,12.1991481137066,4.30976427374188,3.11329997550649,2.06239346071306
